SN,PN,DATANAME,DATA
RB234795,1259372,iRatio0-440,12731
RB234795,1259372,iRatio0-464,12804
RB234795,1259372,iRatio0-488,12855
RB234795,1259372,iRatio0-512,12907
RB234795,1259372,iRatio0-536,13004
RB234795,1259372,iRatio0-56,11523
RB234795,1259372,iRatio0-560,13124
RB234795,1259372,iRatio0-584,13244
RB234795,1259372,iRatio0-608,13336
RB234795,1259372,iRatio0-632,13428
RB234795,1259372,iRatio0-656,13499
RB234795,1259372,iRatio0-680,13529
RB234795,1259372,iRatio0-704,13558
RB234795,1259372,iRatio0-728,13665
RB234795,1259372,iRatio0-752,13809
RB234795,1259372,iRatio0-776,13953
RB234795,1259372,iRatio0-8,11502
RB234795,1259372,iRatio0-80,11564
RB234795,1259372,iRatio0-800,14019
RB234798,1259372,iRatio0-104,12173
RB234798,1259372,iRatio0-128,12215
RB234798,1259372,iRatio0-152,12200
RB234798,1259372,iRatio0-176,12157
RB234798,1259372,iRatio0-200,12113
RB234798,1259372,iRatio0-224,12241
RB234798,1259372,iRatio0-248,12370
RB234798,1259372,iRatio0-272,12488
RB234798,1259372,iRatio0-296,12587
RB234798,1259372,iRatio0-32,11918
RB234798,1259372,iRatio0-320,12685
RB234798,1259372,iRatio0-344,12765
RB234798,1259372,iRatio0-368,12835
RB234798,1259372,iRatio0-392,12906
RB234798,1259372,iRatio0-416,12931
RB234798,1259372,iRatio0-440,12956
RB234798,1259372,iRatio0-464,13008
RB234798,1259372,iRatio0-488,13114
RB234798,1259372,iRatio0-512,13220
RB234798,1259372,iRatio0-536,13246
RB234798,1259372,iRatio0-56,12037
RB234798,1259372,iRatio0-560,13234
RB234798,1259372,iRatio0-584,13221
RB234798,1259372,iRatio0-608,13382
RB234798,1259372,iRatio0-632,13542
RB234798,1259372,iRatio0-656,13686
RB234798,1259372,iRatio0-680,13794
RB234798,1259372,iRatio0-704,13903
RB234798,1259372,iRatio0-728,14026
RB234798,1259372,iRatio0-752,14157
RB234798,1259372,iRatio0-776,14287
RB234798,1259372,iRatio0-8,11799
RB234798,1259372,iRatio0-80,12131
RB234798,1259372,iRatio0-800,14292
RB234808,1259372,iRatio0-104,10994
RB234808,1259372,iRatio0-128,11172
RB234808,1259372,iRatio0-152,11322
RB234808,1259372,iRatio0-176,11457
RB234808,1259372,iRatio0-200,11592
RB234808,1259372,iRatio0-224,11745
RB234808,1259372,iRatio0-248,11897
RB234808,1259372,iRatio0-272,12070
RB234808,1259372,iRatio0-296,12282
RB234808,1259372,iRatio0-32,10603
RB234808,1259372,iRatio0-320,12494
RB234808,1259372,iRatio0-344,12636
RB234808,1259372,iRatio0-368,12743
RB234808,1259372,iRatio0-392,12849
RB234808,1259372,iRatio0-416,13055
RB234808,1259372,iRatio0-440,13261
RB234808,1259372,iRatio0-464,13378
RB234808,1259372,iRatio0-488,13318
RB234808,1259372,iRatio0-512,13258
RB234808,1259372,iRatio0-536,13396
RB234808,1259372,iRatio0-56,10695
RB234808,1259372,iRatio0-560,13633
RB234808,1259372,iRatio0-584,13869
RB234808,1259372,iRatio0-608,13920
RB234808,1259372,iRatio0-632,13971
RB234808,1259372,iRatio0-656,14054
RB234808,1259372,iRatio0-680,14199
RB234808,1259372,iRatio0-704,14344
RB234808,1259372,iRatio0-728,14376
RB234808,1259372,iRatio0-752,14350
RB234808,1259372,iRatio0-776,14325
RB234808,1259372,iRatio0-8,10511
RB234808,1259372,iRatio0-80,10816
RB234808,1259372,iRatio0-800,14184
RB234822,1259317,iRatio0-104,12122
RB234822,1259317,iRatio0-128,12181
RB234822,1259317,iRatio0-152,12245
RB234822,1259317,iRatio0-176,12311
RB234822,1259317,iRatio0-200,12378
RB234822,1259317,iRatio0-224,12376
RB234822,1259317,iRatio0-248,12375
RB234822,1259317,iRatio0-272,12407
RB234822,1259317,iRatio0-296,12508
RB234822,1259317,iRatio0-32,11987
RB234822,1259317,iRatio0-320,12608
RB234822,1259317,iRatio0-344,12648
RB234822,1259317,iRatio0-368,12657
RB234822,1259317,iRatio0-392,12666
RB234822,1259317,iRatio0-416,12709
RB234822,1259317,iRatio0-440,12751
RB234822,1259317,iRatio0-464,12787
RB234822,1259317,iRatio0-488,12809
RB234822,1259317,iRatio0-512,12832
RB234822,1259317,iRatio0-536,12878
RB234822,1259317,iRatio0-56,12020
RB234822,1259317,iRatio0-560,12936
RB234822,1259317,iRatio0-584,12994
RB234822,1259317,iRatio0-608,12972
RB234822,1259317,iRatio0-632,12948
RB234822,1259317,iRatio0-656,12937
RB234822,1259317,iRatio0-680,12948
RB234822,1259317,iRatio0-704,12959
RB234822,1259317,iRatio0-728,12970
RB234822,1259317,iRatio0-752,12982
RB234822,1259317,iRatio0-776,12993
RB234822,1259317,iRatio0-8,11953
RB234822,1259317,iRatio0-80,12063
RB234822,1259317,iRatio0-800,13056
RB234826,1259317,iRatio0-104,12364
RB234826,1259317,iRatio0-128,12483
RB234826,1259317,iRatio0-152,12563
RB234826,1259317,iRatio0-176,12619
RB234826,1259317,iRatio0-200,12679
RB234826,1259317,iRatio0-224,12690
RB234826,1259317,iRatio0-248,12701
RB234826,1259317,iRatio0-272,12696
RB234826,1259317,iRatio0-296,12682
RB234826,1259317,iRatio0-32,12125
RB234826,1259317,iRatio0-320,12663
RB234826,1259317,iRatio0-344,12649
RB234826,1259317,iRatio0-368,12641
RB234826,1259317,iRatio0-392,12631
RB234826,1259317,iRatio0-416,12681
